Name.TF,Name.Target,label
Plagl1,Anxa9,1
Ctcf,Hnf1a,1
Pou3f2,Gata3,1
Zfpm1,Ssbp3,1
Stat1,Tab2,1
Irf3,Nedd9,1
Pou5f1,Ogdhl,1
Bhlhe40,Enah,1
Stat1,Zfp697,1
Batf,Lif,1
Stat5a,Ppp1r8,1
Irf4,Rhob,1
Isx,Osm,1
Kdm3a,Fancd2,1
Satb1,Creb3,1
Bhlhe40,Met,1
Rest,Sox4,1
Zbtb17,Prkar1b,1
Atf3,Chrnb2,1
Irf3,Setd7,1
Mef2c,Itpr1,1
Tbx21,Zbtb2,1
Tet1,Mapk10,1
Rest,Ptprd,1
Gtf3c1,Ep300,1
Nr1d1,Dbndd2,1
Bhlhe40,Fkbp5,1
Pknox1,Maf,1
Sox4,Ddx17,1
Mybl2,Rfx2,1
Med12,Pknox2,1
Tet1,Eomes,1
Lhx2,Arid1a,1
Tbx5,Tmem150a,1
Thrb,Rab34,1
Med1,Sox4,1
Cebpb,Lin28a,1
Ar,Dpysl3,1
Hnf1a,Cpsf4l,1
Klf3,Rnf38,1
Irf4,Eef1d,1
Otx2,Scamp1,1
Smc3,Chtf8,1
Smc1a,Lrrc8d,1
Elf1,Rab2a,1
Pbx1,Ltbp4,1
Nr6a1,Arap1,1
Satb1,Itga10,1
Esr1,Stag3,1
Mycn,Sertad2,1
Gata2,Skiv2l,1
Tead4,Cdca2,1
Pou5f1,Atxn7l3,1
Ncor1,Rxrg,1
Esr2,Lima1,1
Pgr,Ccdc28a,1
Stat4,Bbx,1
Setdb1,Vcl,1
Mitf,Nab2,1
Ascl2,Srsf6,1
Twist2,Klf4,1
Ctcf,Mbp,1
Tbl1x,Podxl,1
Isx,Bsn,1
Atf3,Bcl2l2,1
Zbtb17,Heg1,1
Zeb1,Srr,1
Ikzf2,Kat2a,1
Pou5f1,Kdm3b,1
Ascl1,Pcyt1b,1
Kdm5a,Nuak1,1
Smc1a,Nsg2,1
Rnf2,Zyx,1
Ovol2,Zhx2,1
Foxp1,Crim1,1
Utf1,Reep3,1
Dmap1,Ptprk,1
Stat1,Pfkfb3,1
Mef2c,Eif4g1,1
Ebf1,Fbxo43,1
Satb1,Prdm16,1
Hdac2,Frs3,1
Nr5a2,Setd5,1
Dppa2,Bahcc1,1
Elf1,Clptm1l,1
Btaf1,Pitx2,1
Lhx2,Celf4,1
Tead1,Pcolce,1
Xbp1,Cpeb2,1
Tbx6,Tmem108,1
Tcf3,Stx11,1
Satb1,Arhgef17,1
Nipbl,Ddit3,1
Aire,Foxc1,1
Stat5a,Srr,1
Med12,Tet2,1
Tcf3,Gpr27,1
Esr1,Igf2bp1,1
Suz12,Hdgf,1
Gata2,Lmo4,1
Rfx3,Brd2,1
Foxk1,Ppp1r8,1
Smc1a,Tmem43,1
Msx1,Hbp1,1
Lmnb1,Fosb,1
Runx2,Tead2,1
Sim2,Sik3,1
Cebpa,Ptp4a2,1
Esrrb,Unc80,1
Jun,Twf2,1
Bhlhe40,Dpp6,1
Rara,Met,1
Trim28,Lcorl,1
Plagl1,Pabpn1,1
Pou5f1,Ezh2,1
Osr1,Lsm14a,1
Kdm4c,Kcnip2,1
Klf5,Pias3,1
Rfx3,Efemp2,1
Smc3,Mgat3,1
Kat5,Ttc7b,1
Kdm5a,Pabpc1,1
Satb1,Csnk2a2,1
Pgr,Itpka,1
Med12,Bcl6,1
Klf5,Chmp4b,1
Med12,Zbtb7b,1
Smad3,Cldn15,1
Rxra,Nefm,1
Sox30,Ranbp9,1
Pgr,Mrc2,1
Etv4,Trip12,1
Erf,Gna13,1
Med1,Rcc2,1
Tet1,Shox2,1
Rbpj,Hnrnpu,1
Sim2,Fut8,1
Snai1,Aebp2,1
Rara,Nasp,1
Insm1,Scml4,1
Ubtf,Rims2,1
Atf3,Map3k8,1
Fosl2,Pcdh7,1
Ncoa2,Rai1,1
Smarca4,Elavl4,1
Ctcf,Tuba1a,1
Isx,Itga11,1
Fosl2,Hdac9,1
Ncor1,Cdk14,1
Btaf1,Flot2,1
Six4,Zdhhc9,1
Clock,Per2,1
Max,Syne1,1
Med1,Capzb,1
Btaf1,Frs3,1
Rbpj,Cdyl,1
Tet1,Eif5a,1
Pax3,Bcor,1
Cbfb,Sema3b,1
Fosb,Satb2,1
Irf3,Eif4ebp1,1
Pax5,Dyrk1a,1
Zic2,Acsf2,1
Esr2,Farp1,1
Otx2,Pik3ip1,1
Nipbl,Ptpn21,1
Zbtb17,Fzd2,1
Smarca4,Nme2,1
Erg,Egr1,1
Ncoa2,Sox7,1
Foxp3,Rbbp7,1
Usf1,Gabbr1,1
Runx2,Lrrc1,1
Pou5f1,Col14a1,1
Smc1a,Irf1,1
Esr2,Adnp,1
Med1,Ppp1r9a,1
Zfp57,Col1a1,1
Bhlhe40,Glud1,1
Xbp1,Bap1,1
Tbx3,Tuft1,1
Cbfb,Bap1,1
Setdb1,Krt8,1
Kdm5a,Bcl11b,1
Irf2,Klf9,1
Pgr,Runx2,1
Zeb1,Tgfbr1,1
Bmi1,Chd4,1
Pparg,Prok2,1
Nipbl,Lmo4,1
Rarb,Dusp10,1
Tcf3,Cav2,1
Pou5f1,Cdh20,1
Gata6,Trib1,1
Shox2,Gdf5,1
Cebpd,Ergic3,1
Tead1,Isl1,1
Aff3,Fads2,1
Bhlhe40,Setd1a,1
Zeb1,Ubtd2,1
Erg,Ddit4,1
Nfe2l2,Prkaca,1
Tbp,Jun,1
Erf,Lsm14a,1
Pitx2,Isl1,1
Kdm4c,Fam3c,1
Ezh2,Lcp2,1
Myc,Lefty2,1
Ezh2,Gprc5b,1
Six2,Rufy3,1
Junb,Scamp1,1
Klf3,Mybl2,1
Zbtb17,Ephb1,1
Kdm5a,Bcl3,1
Nanog,Myh10,1
Max,Fgfr1,1
Dppa2,Bcl7c,1
Hoxb5,Klf7,1
Nfe2l2,Anp32b,1
Isx,Spib,1
Klf3,Cd63,1
Plagl1,Hdgf,1
Tbx3,Got1,1
Etv5,Khdrbs1,1
Hnf1a,Triobp,1
Kdm5b,Nphs1,1
Irf1,Sgk1,1
Chd4,Cdc42bpa,1
Hoxa9,Esr1,1
Clock,Nr6a1,1
Pou3f2,Auts2,1
Dmrt1,Prrx2,1
Nr5a2,Ccne2,1
Myc,Hoxb3,1
Esr1,Atf5,1
Nr1d1,Negr1,1
Esr1,Ezh2,1
Esr1,Egr2,1
Snai2,Bbx,1
Fosl1,Rtkn,1
Pou5f1,Camk1d,1
Mtf2,Mall,1
Esr1,Dpy19l1,1
Esr1,Tbx18,1
Bcl6,Trib1,1
Suz12,Sort1,1
Kdm5a,Mier1,1
Rarb,Sox12,1
Meis1,Cadm2,1
Smarca4,Tmpo,1
Elf1,Sumo2,1
Bhlhe40,Lrp2,1
Tbx3,Stat3,1
Erg,Hdlbp,1
Ep300,Mmgt2,1
Clock,4933430I17Rik,1
Isx,Rnf128,1
Esr1,Pappa,1
Cebpd,Klf3,1
Irf8,Spock3,1
Tet1,Lrrc8c,1
Fos,Dsp,1
Otx2,Spats2l,1
Tbx5,Rasgrf2,1
Mtf2,Slc22a15,1
Ctcf,Idh3g,1
Atrx,Zfand3,1
Smarca4,Ybx1,1
Plagl1,Bcas3,1
Hdac2,Dixdc1,1
Tcf12,Cryab,1
Zic2,Tmem200a,1
Isx,Trim66,1
Ep300,Sik1,1
Nfe2l2,Pitx2,1
Rela,Espn,1
Ctcf,Krt8,1
Onecut2,Esm1,1
Rest,Dusp6,1
Irf1,Nasp,1
Elf5,Slc6a14,1
Fosb,Rtf1,1
Setdb1,Fam102b,1
Ctcf,Slc43a1,1
Ebf2,Fzd2,1
Suz12,Btg1,1
Sox9,Capn2,1
Onecut2,Ivns1abp,1
E2f3,Arpc1b,1
Ets1,Dyrk1a,1
Hnf1a,Enah,1
Tcf12,Cpsf4l,1
Jun,Jph4,1
Hnf4a,Xkr6,1
Cebpa,Csnk2a2,1
Hdac2,Arpc1b,1
Lef1,Ndufa13,1
Nfatc1,Chac1,1
Tbx5,Prkaca,1
Pparg,Chd2,1
Tet1,Pdzrn4,1
Zeb1,Gabrb3,1
Ascl1,Sox12,1
Ebf2,Megf11,1
Zfp57,Mbnl1,1
Hoxb4,Tnfrsf12a,1
Gata3,Tgfb2,1
Chd4,Arpc1b,1
Setdb1,Gprc5b,1
Elf1,Tmpo,1
Twist2,Ltbp1,1
Nanog,Cnksr2,1
Ncoa2,Rdh10,1
Arid3a,Cxcl14,1
Kdm5a,Hinfp,1
Isx,Emp1,1
Dppa2,Hs6st2,1
Gli3,Suz12,1
Stat1,Scarf2,1
Esr2,Dtna,1
Bhlhe40,Aspscr1,1
Clock,Snai1,1
Xbp1,Dido1,1
Rcor2,Meis2,1
Plagl1,Pdgfb,1
Irf8,Eln,1
Elf1,Sphk1,1
Tbx5,Zfp644,1
Smad4,Pogk,1
Smad4,Gngt2,1
Pgr,Irs2,1
Tbx3,Sfrp2,1
Med1,Eif4g1,1
Isx,Nuak1,1
Irf1,Kdm3a,1
Sox2,Slc7a3,1
Ezh2,Rora,1
Tcf12,Nefl,1
Erf,Dnmt3b,1
Fli1,Reep3,1
Ebf2,Cacnb3,1
Suz12,Prdm16,1
Six4,Pabpc1,1
Ctcf,Hs3st3b1,1
Fli1,Mreg,1
Tbl1x,Cdc14a,1
Hoxd11,Fbxo11,1
Klf4,Yes1,1
Nr5a2,Cdv3,1
Erg,Eif2s2,1
Cebpb,Inppl1,1
Myc,Actn3,1
Stat4,Nrip1,1
Smc1a,Tmprss5,1
Zbtb17,Lrrc41,1
Dppa2,Gngt2,1
Rad21,Psd3,1
Ebf2,Spag9,1
Sall4,Ccdc141,1
Esrrb,Bcor,1
E2f3,Tgfbrap1,1
Shox2,Mn1,1
Gata3,Myl4,1
Med12,Atf5,1
Batf,Xpnpep1,1
Suz12,Slc23a3,1
Nr4a1,Fbxo30,1
Cebpb,Six1,1
Ezh2,Hoxa6,1
Kdm5a,E2f1,1
Nanog,Rcc2,1
Jund,Cav2,1
Arnt2,Slc30a1,1
Esr1,Zbtb38,1
Hes1,Kat2b,1
Cbx8,Pdgfra,1
Pgr,Cdv3,1
Nanog,Atf5,1
Bhlhe40,Kit,1
Ep300,Lrrc1,1
Tbp,Myocd,1
Ets1,Gprc5a,1
Rest,Flii,1
Vdr,Ppp2r3a,1
Foxp3,Stim1,1
Arid3a,Ube4b,1
Chd4,Srrm1,1
Insm1,Pknox2,1
Rbpj,Ranbp9,1
Batf,Mbnl1,1
Batf,Spag9,1
Foxp1,Rap1gds1,1
Kdm3a,Zfp644,1
Setdb1,Tsc22d1,1
Rxra,Nav1,1
Mef2c,Bmp1,1
Sox9,Cdh17,1
Smad1,Adcy7,1
Smad2,Lrrc41,1
Cebpb,Dyrk2,1
Stat6,Vegfa,1
Ebf1,Frs3,1
Kdm4c,Prpf19,1
Stat3,Prkce,1
Nipbl,Trib1,1
Pou5f1,Cdh3,1
Myc,Dsc2,1
Lin28a,Rab34,1
Stat5a,App,1
Rbpj,Dynll2,1
Ebf2,Kcnmb4,1
Tbx3,Crb3,1
Lhx2,Prss23,1
Kdm4c,Smarcd3,1
Dppa2,Brd3,1
Irf4,Igsf9,1
Pou5f1,Upp1,1
Zbtb17,Mrrf,1
Atf7,Slc1a2,1
Zic2,Angpt2,1
Nipbl,Dnajc11,1
Foxo3,Dnajb12,1
Ebf2,Notum,1
Tbx21,Elmo3,1
Tet1,Pde4b,1
Ehf,Zbtb2,1
Nfatc2,Kdm2b,1
Srf,Srsf1,1
Tbx6,Isl1,1
Hoxb4,Slc6a6,1
Zic2,Hsph1,1
Tead1,Mef2c,1
Hoxb5,Cdca2,1
Usf1,Zic3,1
Med1,Cobl,1
Esr1,Iffo2,1
Rara,Copz2,1
Rara,Sphk1,1
Klf5,Lingo2,1
Atf4,Hnrnpa3,1
Pou3f2,Stim2,1
Dpy30,Cpsf4l,1
Purb,Elavl2,1
Creb1,Bcor,1
Hif1a,Ehmt2,1
Runx2,Fam53b,1
Elf4,Srm,1
Nr5a2,Perp,1
Smad4,Cdk2ap1,1
Smad2,Sae1,1
Utf1,Irx5,1
Atrx,Lima1,1
Elf5,Tmem150a,1
Ebf1,Ube4b,1
Dppa2,Hoxa3,1
Ubtf,Lhx2,1
Jund,Ltbp1,1
Zfx,Cacna2d2,1
Tead4,Aebp2,1
Vdr,Hmgb1,1
Arnt2,Aatf,1
Gata3,Ezh2,1
E2f3,Map3k3,1
Fli1,Esrrb,1
Med1,Kcnk2,1
Mxi1,Map3k12,1
Myt1l,Gfra1,1
Kdm5a,Tead3,1
Suz12,Cbfa2t2,1
Creb1,Gigyf2,1
Zic2,Bbx,1
Mtf2,Ubtd2,1
Smad4,Xkr4,1
Trim28,Id2,1
Med1,Map4k4,1
Fli1,Hoxd9,1
Stat3,Ganab,1
Ncoa2,Mecom,1
Stat3,Onecut3,1
Gata2,Cga,1
Sox4,Lrrc8d,1
Ezh2,Ppp1r13b,1
Eed,Hoxa4,1
Irf4,Kcnh3,1
Arntl,Stim1,1
Hnf1a,Phip,1
Pax3,Rcc2,1
Arnt2,Syne1,1
Hnf1a,Mapkapk2,1
Zic3,Srm,1
Ets1,Megf11,1
Rela,Plbd1,1
Sall4,Slc31a1,1
Irf3,Hinfp,1
Isx,Bcl2l2,1
Smc1a,Aldh7a1,1
Esr2,Flnc,1
Pax3,Ing3,1
Smarca4,Serbp1,1
Rxra,Ssbp3,1
Ctcf,Dab1,1
Hdac2,Reps2,1
Med12,Pdzk1,1
Rxra,Sntb2,1
Nipbl,Pde4dip,1
Rxra,Gria3,1
Smc1a,Gata6,1
Rela,Adamts17,1
Tbx3,Nefm,1
Stat6,Plec,1
Foxp3,Ndrg1,1
Otx2,Sipa1l1,1
Suz12,Rasgrf2,1
Onecut2,Dixdc1,1
Stat5a,Map3k12,1
Mafb,Frmd4a,1
Dppa2,Slitrk4,1
Junb,Slc30a1,1
Ctcf,Srr,1
Ebf2,Tcf15,1
Mxi1,Shoc2,1
Egr2,Zdhhc2,1
Smc3,Arid2,1
Prdm1,Atxn1l,1
Ubtf,Ctcf,1
Atf3,Zfp36l1,1
Ets1,Tnik,1
Snai1,Fut8,1
Foxk1,Pdgfra,1
Elf4,Lrrc8c,1
Irf3,Ube2g1,1
Nr5a2,Zfx,1
Esrrb,Ube2v1,1
Plagl1,Zeb1,1
Shox2,Aph1a,1
Lmnb1,Igf2,1
Rad21,Gprc5b,1
Dppa2,Igdcc4,1
Ebf1,Ankrd28,1
Nkx2-1,Celsr1,1
Smad2,Etv5,1
Klf5,Nsg2,1
Tet1,Slc7a3,1
Smc3,Tnfaip6,1
Kdm4c,Mras,1
Ctcf,Upp1,1
Shox2,Larp4b,1
Cbfb,Smad7,1
Ar,Smarcd3,1
Fli1,Ptpn21,1
Stat5a,Trib2,1
Tead4,Timp3,1
Mef2c,Abi3,1
Rxra,Wnt7a,1
Smad3,Cadm2,1
Stat5a,Bcl3,1
Med1,Cdyl2,1
Clock,Rxrg,1
Smc3,Arap1,1
Nipbl,Krcc1,1
Smad2,Ogdhl,1
Rad21,Rims1,1
Nr6a1,Smad6,1
Mef2c,Plcd1,1
Ebf1,Ergic1,1
Tbl1x,Hmgb1,1
Suz12,Msn,1
Esrrb,Map3k8,1
Kdm5b,Gfra1,1
Vsx2,Rcc2,1
Fosl2,Bhlhe40,1
Rxra,L3mbtl3,1
Med1,Prox1,1
Pbx1,Tshz3,1
Tead1,Irf1,1
Tbp,Chpf2,1
Atf2,Twf2,1
Esrrb,Sox8,1
Myb,Uchl5,1
Chd4,Ppp1r9a,1
Sox4,Akap6,1
Arnt2,Aspscr1,1
Atf2,Srf,1
Hnf4a,D630039A03Rik,1
Tead4,Sppl3,1
Aff3,Bdnf,1
Zfp57,Sgk1,1
Rara,Epha1,1
Pou3f2,Grip1,1
Tbx21,Zbtb7b,1
Hoxd11,Hoxb6,1
Prdm14,Trpc4ap,1
Smc3,Foxc2,1
Zic2,Slc23a3,1
Rad21,Elmod1,1
Mitf,Shmt1,1
Brca1,Col5a1,1
Sox30,Ube4b,1
Zfx,Zswim6,1
Wt1,Elmo1,1
Junb,Phc2,1
Nkx2-1,Ppp1r9a,1
Arnt2,Jam2,1
Hnf1a,Flii,1
Ebf1,Hic1,1
Hand2,Pip4k2a,1
Hnf1a,Spag9,1
Isx,Igsf1,1
Usf2,Itpr1,1
Esrrb,Hnrnpu,1
Rbpj,Nap1l1,1
Ctcf,Sgcz,1
Rad21,Nckap1,1
Bach2,Fbxo30,1
Usf1,Igf2bp1,1
Zfx,Cdv3,1
Bhlhe41,Cnn2,1
Arntl,Fam83h,1
Ascl1,Zhx2,1
Six2,Nedd9,1
Cebpd,Ywhag,1
Pparg,Vegfc,1
Pgr,Inha,1
Bach2,Speg,1
Smad3,Foxp2,1
Ebf1,Nr0b1,1
Junb,Gngt2,1
Hes1,Atf3,1
Vdr,Vcl,1
Zic2,Tinagl1,1
Maf,Hspd1,1
Rara,Fkbp10,1
Otx2,Mybl2,1
Elf5,Ctbp2,1
Zeb1,Ptp4a3,1
Med12,Aldh1a3,1
Egr1,Fzd5,1
Arnt2,Trpc6,1
Hdac2,Hnrnpl,1
Rfx2,Rfx3,1
Irf3,Hmgn2,1
Gata2,Pcdh8,1
Stat4,Fhod1,1
Rad21,Nab2,1
Esr1,Dusp4,1
Fos,Id4,1
Nr4a1,Slc6a6,1
Smad4,Fblim1,1
Six2,Nr2f1,1
Pax5,Dll1,1
Meis1,Tes,1
Med12,Dab2,1
Hnf1a,Arid1a,1
Pax3,Sall4,1
Esr1,Gnai2,1
Prdm1,Stc2,1
Med12,Lrriq4,1
Pou5f1,Nefl,1
Isx,Mtss1,1
Vdr,Map4k4,1
Isx,Trio,1
Stat3,Gbx2,1
Usf2,Otud1,1
Klf3,Plec,1
Six2,Triobp,1
Nfe2l1,Il1rn,1
Rad21,Ergic1,1
Nr6a1,Trim3,1
Trim28,Rin1,1
Tead4,Faf2,1
Otx2,Irs2,1
Lmo2,Sorcs2,1
Lmnb1,Dusp10,1
Rara,Tcfl5,1
E2f1,Pde4dip,1
Sox2,Fhod1,1
Nfe2l2,Adnp,1
Bhlhe40,Irx2,1
Hnf1a,Igf2bp3,1
Ebf2,Dgkh,1
Onecut2,Gnb2,1
Tead4,Igfbp5,1
Bhlhe40,Rara,1
Gata2,Zbtb7c,1
Myt1l,Tnik,1
Six4,Map3k8,1
Rad21,Chpf,1
Arid3a,4933430I17Rik,1
Myc,Spock3,1
Isx,Colec12,1
Sall4,Fgf11,1
Atf4,Gprc5c,1
Hoxb5,Nfkbiz,1
Six2,Eif2a,1
Purb,Pip4k2b,1
Esrrb,Coch,1
Runx1,Krtcap2,1
Tbx6,Ints6,1
Cbfb,Capn2,1
Klf3,Akt3,1
Cebpa,Pecam1,1
Elf4,Fam53b,1
E2f1,Rin3,1
Rxra,Nr2f1,1
Tbl1x,Rbms2,1
Kdm5a,Sik3,1
Ebf1,Slc31a1,1
Tbx3,Prkag1,1
Tcf3,Adrbk2,1
Cbfb,Stard10,1
Esrrb,Etv1,1
Suz12,Prkaca,1
Pgr,Pdgfra,1
Pax5,Zbtb38,1
Isx,Otud1,1
Mef2c,Arl4a,1
Wt1,Akt3,1
Clock,Ggt7,1
Hoxa9,Heg1,1
Sox2,Chst8,1
Hnf4a,Kcnn2,1
Purb,Ppp1r9a,1
Nfe2l2,Hoxa1,1
Tcf7l2,Pax6,1
Prdm1,Kcnip2,1
Fos,Zeb2,1
Egr2,Chd7,1
Bhlhe41,Ppp1r8,1
Ets1,Ccdc80,1
Hdac2,Bcl11a,1
Hoxb4,Pabpn1,1
Zbtb17,Nfkbiz,1
Ar,Pou2f2,1
Pgr,Huwe1,1
Nkx2-1,Setd1a,1
Jun,Cenpb,1
Rara,Unc80,1
Hif1a,Hlf,1
Ehf,Pmepa1,1
Lin28a,Actg1,1
Egr2,Foxc1,1
Mafk,Xpo7,1
E2f1,Srrm4,1
Arntl,Mgat3,1
Sox9,Atp1a1,1
Cebpb,Dlx6,1
Tbx21,Fam3c,1
Rnf2,Pkp4,1
Gata3,Prox1,1
Nr1d1,Phf19,1
Hnf4a,Hdlbp,1
E2f1,Cul1,1
Irf1,Cdkn1c,1
Pax3,Adcy7,1
Atf7,Onecut2,1
Pou3f2,Aatf,1
Gata3,Cacna1a,1
Smad4,Ascc2,1
Med1,Pde8a,1
Usf2,Btbd11,1
Tbx5,Kcnb1,1
Erf,Klf3,1
Irf8,Lrrc41,1
Hoxa9,Atxn7l3,1
E2f1,Klf5,1
Irf1,Junb,1
Rnf2,Phf21a,1
Rfx3,Mybl2,1
Tcf12,Igfbp5,1
Meis1,Rbms2,1
Smad2,Nphs1,1
Stat3,Isx,1
Kdm5b,Ptp4a3,1
Arid3a,Ptgs2,1
Tbx5,Hmga2,1
Bach2,Creb3,1
Rnf2,Ehmt1,1
Tbx5,Dusp3,1
Ubtf,Rnf157,1
Prdm1,Dpf3,1
Sox2,Basp1,1
Prdm5,Ing3,1
Nkx2-1,Xrcc6,1
Irf1,Tnik,1
Sox9,Msi2,1
Max,Odf2,1
Smad2,Sp9,1
Utf1,St6galnac5,1
Ubtf,Capn2,1
Pou3f2,Dusp4,1
Mtf2,Sgk1,1
Stat3,Atxn10,1
Sox4,Zfp36l1,1
Smarca2,Mras,1
Atf3,Cdc42bpb,1
Foxp3,Gnaq,1
Pou3f1,Macrod2,1
Nipbl,Adcyap1r1,1
Twist2,Epha7,1
Nfe2l2,Fancd2,1
Nrf1,Bnip3,1
Fos,Arfgef1,1
Atf4,Ranbp17,1
Smc3,Cryab,1
Atrx,Cbln1,1
Pparg,Spsb4,1
Tbx3,Sumo3,1
Irf3,Rb1,1
Junb,Ubr5,1
Runx2,Gdf5,1
Esr2,Matn2,1
Dppa2,Spata6,1
Rnf2,Podxl,1
Jund,Irs2,1
Irf8,Elovl6,1
Gata2,Ntn1,1
Chd4,Cyld,1
Nr1d1,Rorc,1
Pax5,Ckb,1
Twist2,Mmp14,1
Six2,Fbxo11,1
Six4,Agap1,1
Sox9,Smo,1
Erg,Fam131b,1
Sall4,Cacnb3,1
Hif1a,Rbm39,1
Bmi1,Pstpip2,1
Clock,Oaf,1
Chd4,Tob1,1
Esr2,Col1a1,1
Tbx3,Dtna,1
Ebf1,Zmiz1,1
Pou5f1,Ptprd,1
Hnf1a,Crim1,1
Eed,Grb10,1
Brca1,Tle4,1
Jun,Asxl1,1
Cebpd,Tpm3,1
Mllt3,Hnrnpa3,1
Tbx3,Pde4dip,1
Pgr,Myocd,1
Med12,Trim2,1
Myt1l,Snai1,1
Tcf12,Ube2v1,1
Ezh2,Ntng2,1
Zfx,Fzd7,1
Suz12,Hpgd,1
Srf,Smo,1
Hand2,Runx2,1
Batf,Zbtb38,1
Zbtb17,Plagl2,1
Hif1a,Ppm1h,1
Junb,Vars2,1
Tead4,Srgap3,1
Twist2,Nle1,1
Tead1,Gabbr1,1
Med12,Eif4ebp1,1
Foxp3,Mycn,1
Hoxb5,Cacna1c,1
Ncor1,Pde4a,1
Tcf12,Pdgfb,1
Zbtb17,Slc9a2,1
Tead1,Dnajc6,1
Klf3,Krcc1,1
Batf,Ets1,1
Irf1,Ubl7,1
Rest,Csk,1
Zfp57,Axin2,1
Rnf2,Cdh3,1
Tgif1,Ric8b,1
Chd4,Mier1,1
Pax5,Efnb2,1
Nr4a1,Hdac9,1
Zeb1,Notch4,1
Gtf3c1,Jph4,1
Nfe2l2,Rcan1,1
Lmnb1,Cnn2,1
