tf,gene,label
Pias3,Zswim5,0
Pias3,Cbln1,0
Pias3,Idh3g,0
Pias3,Pcf11,0
Pias3,Ank,0
Pias3,Hoxb4,0
Pias3,Dlx6os1,0
Pias3,Cdv3,0
Pias3,March2,0
Pias3,Erf,0
Pias3,Inppl1,0
Pias3,Pacsin1,0
Pias3,Usp25,0
Pias3,Wnt4,0
Pias3,Taf15,0
Pias3,Tnks,0
Pias3,Chtf8,0
Pias3,Cxxc4,0
Pias3,Spats2l,0
Pias3,Irx5,0
Pias3,Kdm4c,0
Pias3,Mtx3,0
Pias3,Rhobtb1,0
Pias3,Dio3,0
Pias3,Stx11,0
Pias3,Nle1,0
Pias3,Hsp90ab1,0
Pias3,Six3,0
Pias3,Plcd1,0
Pias3,Cenpb,0
Tgm2,Vim,0
Tgm2,Ttn,0
Tgm2,Pde1b,0
Tgm2,Kcnmb4,0
Tgm2,Tlx2,0
Tgm2,Zbtb7b,0
Tgm2,Fbxl7,0
Tgm2,Cdh4,0
Tgm2,Tinagl1,0
Tgm2,Zbtb7c,0
Tgm2,Pde8a,0
Tgm2,Nfil3,0
Tgm2,Zfpm2,0
Tgm2,Snd1,0
Tgm2,Fkbp5,0
Tgm2,Cacng7,0
Tgm2,Skiv2l,0
Tgm2,Wnt4,0
Tgm2,Mier1,0
Tgm2,Pkp4,0
Tgm2,Col4a1,0
Tgm2,Shf,0
Tgm2,Phf21a,0
Tgm2,Rorc,0
Tgm2,Anp32b,0
Tgm2,Wnt3,0
Tgm2,1700034H15Rik,0
Tgm2,Dpysl3,0
Tgm2,Enah,0
Tgm2,Il4,0
Tgm2,Mctp1,0
Tgm2,Mrc2,0
Tgm2,Gata2,0
Tgm2,Pcolce,0
Tgm2,Celf2,0
Tgm2,Eda,0
Tgm2,Ntng2,0
Tgm2,Kcnb1,0
Kdm5a,Emp1,0
Kdm5a,Podxl,0
Kdm5a,Grb10,0
Kdm5a,Satb1,0
Kdm5a,Nefm,0
Kdm5a,Spag9,0
Kdm5a,Pcdh8,0
Kdm5a,Rlim,0
Kdm5a,Acvr2b,0
Kdm5a,Prok2,0
Kdm5a,L3mbtl3,0
Kdm5a,Myt1l,0
Kdm5a,Lck,0
Kdm5a,Bcor,0
Kdm5a,Wnt7a,0
Kdm5a,Cdc14a,0
Kdm5a,Ehmt1,0
Kdm5a,Mrvi1,0
Kdm5a,Uqcrh,0
Kdm5a,Sphk1,0
Kdm5a,Mtss1,0
Kdm5a,Pkdcc,0
Kdm5a,Unc13a,0
Kdm5a,Taf15,0
Kdm5a,Tle4,0
Kdm5a,Schip1,0
Kdm5a,Stim2,0
Kdm5a,Ovol1,0
Kdm5a,Anp32e,0
Kdm5a,Pdzk1,0
Kdm5a,Brd3,0
Kdm5a,Pls3,0
Kdm5a,Cabp1,0
Kdm5a,Anxa9,0
Kdm5a,Nav1,0
Kdm5a,Grid1,0
Kdm5a,Agap3,0
Kdm5a,Dusp3,0
Kdm5a,Ppm1a,0
Kdm5a,Sox5,0
Kdm5a,Qser1,0
Kdm5a,Lgr4,0
Kdm5a,Mal2,0
Kdm5a,Spred1,0
Kdm5a,Pdgfa,0
Kdm5a,Dennd2a,0
Kdm5a,Bsn,0
Kdm5a,Grip1,0
Kdm5a,Ptprm,0
Kdm5a,Tbx6,0
Kdm5a,Lif,0
Kdm5a,Arl8a,0
Kdm5a,Aspa,0
Kdm5a,S1pr1,0
Kdm5a,Nle1,0
Kdm5a,Slc22a23,0
Kdm5a,Foxp2,0
Hoxb4,Sox4,0
Hoxb4,Shroom4,0
Hoxb4,Cdh11,0
Hoxb4,Mapkapk2,0
Hoxb4,Gpr85,1
Hoxb4,Hoxc5,0
Hoxb4,Stard10,0
Hoxb4,Lpgat1,0
Hoxb4,Nkx2-1,1
Hoxb4,Pde4dip,0
Hoxb4,Cga,1
Hoxb4,Hoxd11,0
Hoxb4,Cdc42bpa,1
Hoxb4,Snai3,0
Hoxb4,Slc44a3,0
Hoxb4,Dmrta2,1
Hoxb4,Dusp6,1
Hoxb4,Reps2,0
Hoxb4,Baz1a,1
Hoxb4,Pdzrn4,1
Hoxb4,Tox3,0
Hoxb4,Ptp4a3,0
Hoxb4,Sp5,1
Hoxb4,Afp,1
Hoxb4,Mtdh,0
Hoxb4,Bhlhe22,1
Hoxb4,Hoxb7,1
Hoxb4,Dpp4,0
Hoxb4,Mab21l1,1
Hoxb4,Lrrn3,1
Hoxb4,Hoxb6,0
Hoxb4,Adcy7,0
Hoxb4,St8sia5,0
Hoxb4,Fut8,0
Hoxb4,Dclk1,1
Hoxb4,Inppl1,1
Hoxb4,Trim8,1
Hoxb4,Prkg1,0
Hoxb4,Hoxc8,1
Hoxb4,Dab2,1
Hoxb4,Ovol1,1
Hoxb4,Mitf,1
Hoxb4,Sumo2,0
Hoxb4,Hand2,1
Hoxb4,Spsb4,0
Hoxb4,Zfp536,1
Hoxb4,Brd3,1
Hoxb4,Ankrd52,0
Hoxb4,Sfn,1
Hoxb4,Cdyl,0
Hoxb4,Mapt,0
Hoxb4,Nrp2,0
Hoxb4,Lingo2,1
Hoxb4,Tac1,1
Hoxb4,Sox5,1
Hoxb4,Klhdc3,0
Hoxb4,Rhobtb1,0
Hoxb4,Hdgf,0
Hoxb4,Emx2,1
Hoxb4,Sgsm2,0
Hoxb4,Tbx6,1
Hoxb4,Anks1b,0
Hoxb4,Slc17a6,0
Hoxb4,Glis3,0
Hoxb4,Lrrc4,1
Hoxb4,Neurl1a,0
Hoxb4,Cacnb1,0
Hoxb4,Pde11a,0
Hoxb4,2610028E06Rik,1
Hoxb4,Ttc36,1
Hoxb4,Esm1,0
Hoxb4,Lemd1,1
Hoxb4,Foxf2,0
Hoxb4,Gdf5,1
Hoxb4,H1f0,0
Hoxb4,Sgk1,0
Hoxb4,Sox2,1
Pax6,Batf2,0
Pax6,Bcl6,1
Pax6,Sec16b,1
Pax6,Nrxn1,1
Pax6,Ralyl,1
Pax6,Rxrg,1
Pax6,Hdac9,1
Pax6,Nfix,0
Pax6,Rtkn,0
Pax6,Vapb,0
Pax6,Pdzrn3,0
Pax6,Spag9,1
Pax6,Lgi1,1
Pax6,Dusp6,1
Pax6,Plxnc1,0
Pax6,Baz1a,1
Pax6,Pdzrn4,1
Pax6,Tet3,0
Pax6,Hoxa4,1
Pax6,Kdm2b,1
Pax6,Cdh2,0
Pax6,Ptpn5,1
Pax6,Sp5,1
Pax6,Angpt1,1
Pax6,Wnt2b,0
Pax6,Ppp1r1a,0
Pax6,Amotl2,0
Pax6,Tmem132d,0
Pax6,Met,0
Pax6,Bhlhe22,1
Pax6,Asns,1
Pax6,Foxj1,1
Pax6,Msto1,0
Pax6,Nhs,0
Pax6,Fblim1,0
Pax6,Mab21l1,1
Pax6,Midn,0
Pax6,Adcy7,1
Pax6,Lrtm1,1
Pax6,Sostdc1,1
Pax6,Myh9,1
Pax6,Slc30a1,1
Pax6,Col23a1,0
Pax6,Bend3,1
Pax6,Tbx18,1
Pax6,Prkg1,1
Pax6,Dab2ip,0
Pax6,Zfp503,1
Pax6,Apln,0
Pax6,Dab2,1
Pax6,Zcchc24,0
Pax6,Snph,0
Pax6,Podn,0
Pax6,Ovol1,1
Pax6,Ephb1,1
Pax6,Alx1,1
Pax6,Bves,1
Pax6,Ranbp17,0
Pax6,Mitf,1
Pax6,Zfp608,1
Pax6,Akap6,1
Pax6,Zfp536,1
Pax6,Prg4,1
Pax6,Dll1,1
Pax6,Ism1,1
Pax6,Lrrn2,1
Pax6,Gm14137,1
Pax6,Gap43,1
Pax6,Nr5a2,0
Pax6,Glud1,0
Pax6,Rab2a,0
Pax6,Sema3c,0
Pax6,En2,1
Pax6,Lima1,1
Pax6,Samd5,0
Pax6,Elmod1,1
Pax6,Plec,0
Pax6,Pnck,0
Pax6,Stag2,0
Pax6,Tnik,1
Pax6,G3bp2,0
Pax6,A830010M20Rik,0
Pax6,Nol4,1
Pax6,Emx2,1
Pax6,Fam53b,1
Pax6,Rnf19b,1
Pax6,Shc3,1
Pax6,Anks1b,1
Pax6,Zic3,1
Pax6,Esrrb,0
Pax6,Hoxb8,1
Pax6,Srsf12,1
Pax6,Hdac7,1
Pax6,En1,1
Pax6,Dlg3,1
Pax6,Setbp1,1
Pax6,Atxn10,1
Pax6,Rab12,1
Pax6,Bud13,1
Pax6,Hsp90ab1,0
Pax6,Adamtsl1,1
Pax6,Abi3bp,0
Pax6,Shoc2,0
Pax6,Gdf5,1
Pax6,Insm1,1
Pax6,Ptpn14,0
Pax6,Cdh10,1
Pax6,Dlx1as,1
Sp4,Col5a1,1
Sp4,Mex3b,1
Sp4,Grik3,1
Sp4,Shroom4,0
Sp4,Gabrb3,1
Sp4,Ptprg,1
Sp4,Egr2,1
Sp4,Scn1b,1
Sp4,Ino80d,1
Sp4,4933430I17Rik,1
Sp4,Abi3,1
Sp4,Cdh11,1
Sp4,Ankrd28,1
Sp4,Atxn1,1
Sp4,Nova1,1
Sp4,Zbtb25,1
Sp4,Nrxn1,1
Sp4,Syt6,1
Sp4,Pitx2,1
Sp4,Tob1,1
Sp4,Tpbg,1
Sp4,Pmp22,1
Sp4,Kcnd3,1
Sp4,Crim1,1
Sp4,Aplp1,1
Sp4,Gm5577,1
Sp4,Cpne9,1
Sp4,Ntrk3,1
Sp4,Gem,1
Sp4,Bmp2,1
Sp4,AU040320,1
Sp4,Prss23,0
Sp4,Plxna4,1
Sp4,Rapgef3,1
Sp4,Ltbr,0
Sp4,Kcnmb4,1
Sp4,Tox,1
Sp4,Adcy2,1
Sp4,Larp4b,1
Sp4,Srgap3,1
Sp4,Aph1a,1
Sp4,Csnk2a2,1
Sp4,Nsmaf,1
Sp4,Dnmt3b,1
Sp4,Nefm,1
Sp4,Cd248,1
Sp4,Lmo4,1
Sp4,Tlx2,1
Sp4,Zbtb7b,1
Sp4,Cdyl2,1
Sp4,Stk24,0
Sp4,Anxa1,1
Sp4,Msc,1
Sp4,Fli1,1
Sp4,Zswim5,1
Sp4,Maneal,1
Sp4,Zic1,1
Sp4,Meis2,1
Sp4,Pdzrn3,1
Sp4,Brsk2,1
Sp4,Rnf128,1
Sp4,Ttc28,0
Sp4,Lancl3,1
Sp4,Cxcl12,1
Sp4,Rgs8,1
Sp4,Eno3,1
Sp4,Gdf6,1
Sp4,Ebf4,1
Sp4,Ehmt2,1
Sp4,Cdh4,1
Sp4,Cbln1,1
Sp4,Bahd1,1
Sp4,Tnpo1,1
Sp4,E330009J07Rik,1
Sp4,Tet2,1
Sp4,Reps2,1
Sp4,Abhd2,1
Sp4,Hspa12b,1
Sp4,Kcnk2,1
Sp4,Sobp,1
Sp4,Plxnc1,1
Sp4,Myb,1
Sp4,Ryr2,1
Sp4,Stk10,1
Sp4,Pou3f3,1
Sp4,Mllt3,0
Sp4,Il7,1
Sp4,Cdk6,1
Sp4,Ubap2l,1
Sp4,Cacna2d2,1
Sp4,Hmgn2,1
Sp4,Tox3,1
Sp4,Crtac1,1
Sp4,Lcorl,1
Sp4,Vash2,1
Sp4,Rnf130,0
Sp4,Tmod1,1
Sp4,Stc2,1
Sp4,Macrod2,1
Sp4,Plekha6,1
Sp4,Camkv,1
Sp4,Lypd6b,1
Sp4,Ccne1,1
Sp4,1810062O18Rik,1
Sp4,Ptpn5,1
Sp4,Sp5,1
Sp4,Sh3pxd2a,1
Sp4,Fndc3b,1
Sp4,Zbtb7c,1
Sp4,Wnt2b,1
Sp4,Ppp1r1a,0
Sp4,Zfp827,0
Sp4,Sema5b,1
Sp4,Efnb2,1
Sp4,Bcor,1
Sp4,Rimklb,1
Sp4,Rtn4r,1
Sp4,AI593442,1
Sp4,Stxbp5l,1
Sp4,Irx1,1
Sp4,Itga11,1
Sp4,Grhl2,1
Sp4,Ppp1r14b,0
Sp4,Tgfbrap1,1
Sp4,Osbpl6,1
Sp4,Lhx2,1
Sp4,Sp4,1
Sp4,Wnt7a,1
Sp4,Ptges3,1
Sp4,Fam193b,0
Sp4,Arap1,1
Sp4,Usp15,1
Sp4,Wwtr1,1
Sp4,Ptchd1,1
Sp4,Bcl11a,1
Sp4,Plxnd1,1
Sp4,Srsf6,1
Sp4,Tnfrsf12a,1
Sp4,Msto1,1
Sp4,Ccdc148,1
Sp4,Sall3,1
Sp4,Kitl,1
Sp4,Arf5,1
Sp4,Sema4a,1
Sp4,Fblim1,1
Sp4,Dlgap3,1
Sp4,P4htm,1
Sp4,Ntn1,1
Sp4,Tmem108,1
Sp4,Mab21l1,1
Sp4,Cdk14,1
Sp4,Igdcc4,1
Sp4,Ube2b,1
Sp4,Hnrnpu,1
Sp4,Kat5,1
Sp4,Rtn4rl1,1
Sp4,Etv4,1
Sp4,Mgll,1
Sp4,Uqcrh,1
Sp4,Cdh3,1
Sp4,Nrcam,1
Sp4,Zfpm2,1
Sp4,Myocd,1
Sp4,Adrb1,1
Sp4,Jdp2,1
Sp4,Igf2,1
Sp4,Mecom,1
Sp4,Hoxb6,1
Sp4,Klf3,1
Sp4,Stau2,1
Sp4,Actn3,1
Sp4,Otx1,1
Sp4,Pcdh17,1
Sp4,Cacna1c,1
Sp4,Cdv3,1
Sp4,Adamts15,1
Sp4,Gdf10,1
Sp4,Zfp618,0
Sp4,Sox30,1
Sp4,Six4,1
Sp4,Porcn,1
Sp4,Slc44a1,1
Sp4,Mycn,1
Sp4,Bdnf,1
Sp4,Fam49a,1
Sp4,Usp28,1
Sp4,Ep300,1
Sp4,Fgf17,1
Sp4,Mfhas1,0
Sp4,Fam78b,1
Sp4,Ntn4,1
Sp4,C1ql3,1
Sp4,Ppm1e,1
Sp4,Phf19,1
Sp4,Mark1,1
Sp4,Cdk2ap1,1
Sp4,Bend3,1
Sp4,Hoxa1,0
Sp4,Efna5,1
Sp4,Tbx18,1
Sp4,Ptrf,1
Sp4,Inppl1,1
Sp4,Nap1l1,1
Sp4,Hoxc11,1
Sp4,Zic2,1
Sp4,4930467E23Rik,0
Sp4,Zfp703,1
Sp4,Farp1,1
Sp4,Skiv2l,1
Sp4,Pacsin1,1
Sp4,Akap1,1
Sp4,Zfp503,1
Sp4,Pde4a,1
Sp4,Bnc1,1
Sp4,Rgma,1
Sp4,Lrfn1,1
Sp4,Psd3,1
Sp4,Pkdcc,1
Sp4,Slc9a7,1
Sp4,Wnt4,1
Sp4,Hdlbp,0
Sp4,Fmnl2,1
Sp4,Arhgef17,1
Sp4,Kcnj3,1
Sp4,Fbxl19,1
Sp4,Gria3,1
Sp4,Ube2g1,1
Sp4,Egfl6,1
Sp4,Dpysl2,1
Sp4,Itga10,1
Sp4,Klf2,1
Sp4,Aldh7a1,0
Sp4,Sel1l3,1
Sp4,Kcnip2,1
Sp4,Gpc3,1
Sp4,Rai2,1
Sp4,Rnf157,1
Sp4,Ubqln4,0
Sp4,Sort1,1
