TF,Target,Label,Score
Elf5,Grhl2,0,0
Elf5,Ergic3,0,0
Elf5,Tcf7l2,0,0
Elf5,Slc31a1,0,0
Elf5,Arap1,1,999
Elf5,Foxj1,0,0
Elf5,Akt3,1,999
Elf5,Cabp7,0,0
Elf5,Etv6,1,999
Elf5,Etv4,1,999
Elf5,Nrcam,0,0
Elf5,Hoxb6,1,999
Elf5,Adcy7,1,999
Elf5,Lcp2,1,999
Elf5,Zfp768,1,999
Elf5,Slc15a1,0,0
Elf5,Camk1d,0,0
Elf5,Bdnf,1,999
Elf5,Gm14005,1,999
Elf5,Trim56,1,999
Elf5,Erf,0,0
Elf5,Gabra3,1,999
Elf5,Hoxa1,1,999
Elf5,Tbx18,1,999
Elf5,Irf1,1,999
Elf5,Hoxc10,0,0
Elf5,Gria3,0,0
Elf5,Ccdc141,1,999
Elf5,Sertad2,0,0
Elf5,Gdpd5,1,999
Elf5,Lmo2,1,999
Elf5,Lag3,1,999
Elf5,Arpc1b,1,999
Elf5,D630039A03Rik,0,0
Elf5,Hrh2,1,999
Elf5,Adora1,1,999
Elf5,Pls3,1,999
Elf5,Elmo1,1,999
Elf5,Elmo3,1,999
Elf5,Mks1,0,0
Elf5,Cntrob,1,999
Elf5,Hes1,0,0
Elf5,Ppm1h,0,0
Elf5,Creb3,1,999
Elf5,Adcyap1r1,0,0
Elf5,Elovl1,1,999
Elf5,Chsy1,0,0
Elf5,Zfp710,1,999
Elf5,Arhgap6,1,999
Elf5,Dusp3,0,0
Elf5,Spns3,1,999
Elf5,Ly6h,1,999
Elf5,Srsf10,0,0
Elf5,Lima1,1,999
Elf5,Meis1,1,999
Elf5,Dusp5,1,999
Elf5,Ino80,1,999
Elf5,Dpysl3,0,0
Elf5,Rcan2,1,999
Elf5,Zmynd8,1,999
Elf5,Enox1,0,0
Elf5,Mtx3,1,999
Elf5,Rnf38,0,0
Elf5,Pou3f1,0,0
Elf5,Atf2,0,0
Elf5,Il1rapl1,0,0
Elf5,Foxc1,1,999
Elf5,Nkx2-9,0,0
Elf5,Ilf3,0,0
Elf5,Btg1,1,999
Elf5,Mark2,1,999
Elf5,Trerf1,1,999
Elf5,Dyrk1a,0,0
Elf5,Fgf18,0,0
Elf5,Hivep2,1,999
Elf5,Smad2,0,0
Elf5,Ndst1,0,0
Elf5,Nck2,1,999
Elf5,Slc22a15,1,999
Elf5,Prkrir,0,0
Elf5,Lax1,0,0
Elf5,Nr1d1,1,999
Elf5,Frmd4a,1,999
Elf5,Lemd1,1,999
Elf5,Tm9sf3,0,0
Elf5,Ubtd2,0,0
Elf5,Nr0b1,0,0
Elf5,Igfbp4,0,0
Elf5,Fzd10,0,0
Elf5,Elavl2,1,999
Elf5,Sox2,1,999
Elf5,Dlx6,0,0
Pias3,Ptprt,0,0
Pias3,Nfix,0,0
Pias3,Rfx2,0,0
Pias3,App,0,0
Pias3,Zswim5,0,0
Pias3,Cbln1,0,0
Pias3,Idh3g,0,0
Pias3,Pcf11,0,0
Pias3,Ank,0,0
Pias3,Hoxb4,0,0
Pias3,Dlx6os1,0,0
Pias3,Cdv3,0,0
Pias3,March2,0,0
Pias3,Erf,0,0
Pias3,Inppl1,0,0
Pias3,Pacsin1,0,0
Pias3,Usp25,0,0
Pias3,Wnt4,0,0
Pias3,Taf15,0,0
Pias3,Tnks,0,0
Pias3,Chtf8,0,0
Pias3,Cxxc4,0,0
Pias3,Spats2l,0,0
Pias3,Irx5,0,0
Pias3,Kdm4c,0,0
Pias3,Mtx3,0,0
Pias3,Rhobtb1,0,0
Pias3,Dio3,0,0
Pias3,Stx11,0,0
Pias3,Nle1,0,0
Pias3,Hsp90ab1,0,0
Pias3,Six3,0,0
Pias3,Plcd1,0,0
Pias3,Cenpb,0,0
Tgm2,Vim,0,0
Tgm2,Ttn,0,0
Tgm2,Pde1b,0,0
Tgm2,Kcnmb4,0,0
Tgm2,Tlx2,0,0
Tgm2,Zbtb7b,0,0
Tgm2,Fbxl7,0,0
Tgm2,Cdh4,0,0
Tgm2,Tinagl1,0,0
Tgm2,Zbtb7c,0,0
Tgm2,Pde8a,0,0
Tgm2,Nfil3,0,0
Tgm2,Zfpm2,0,0
Tgm2,Snd1,0,0
Tgm2,Fkbp5,0,0
Tgm2,Cacng7,0,0
Tgm2,Skiv2l,0,0
Tgm2,Wnt4,0,0
Tgm2,Mier1,0,0
Tgm2,Pkp4,0,0
Tgm2,Col4a1,0,0
Tgm2,Shf,0,0
Tgm2,Phf21a,0,0
Tgm2,Rorc,0,0
Tgm2,Anp32b,0,0
Tgm2,Wnt3,0,0
Tgm2,1700034H15Rik,0,0
Tgm2,Dpysl3,0,0
Tgm2,Enah,0,0
Tgm2,Il4,0,0
Tgm2,Mctp1,0,0
Tgm2,Mrc2,0,0
Tgm2,Gata2,0,0
Tgm2,Pcolce,0,0
Tgm2,Celf2,0,0
Tgm2,Eda,0,0
Tgm2,Ntng2,0,0
Tgm2,Kcnb1,0,0
Kdm5a,Emp1,0,0
Kdm5a,Podxl,0,0
Kdm5a,Grb10,0,0
Kdm5a,Satb1,0,0
Kdm5a,Nefm,0,0
Kdm5a,Spag9,0,0
Kdm5a,Pcdh8,0,0
Kdm5a,Rlim,0,0
Kdm5a,Acvr2b,0,0
Kdm5a,Prok2,0,0
Kdm5a,L3mbtl3,0,0
Kdm5a,Myt1l,0,0
Kdm5a,Lck,0,0
Kdm5a,Bcor,0,0
Kdm5a,Wnt7a,0,0
Kdm5a,Cdc14a,0,0
Kdm5a,Ehmt1,0,0
Kdm5a,Mrvi1,0,0
Kdm5a,Uqcrh,0,0
Kdm5a,Sphk1,0,0
Kdm5a,Mtss1,0,0
Kdm5a,Pkdcc,0,0
Kdm5a,Unc13a,0,0
Kdm5a,Taf15,0,0
Kdm5a,Tle4,0,0
Kdm5a,Schip1,0,0
Kdm5a,Stim2,0,0
Kdm5a,Ovol1,0,0
Kdm5a,Anp32e,0,0
Kdm5a,Pdzk1,0,0
Kdm5a,Brd3,0,0
Kdm5a,Pls3,0,0
Kdm5a,Cabp1,0,0
Kdm5a,Anxa9,0,0
Kdm5a,Nav1,0,0
Kdm5a,Grid1,0,0
Kdm5a,Agap3,0,0
Kdm5a,Dusp3,0,0
Kdm5a,Ppm1a,0,0
Kdm5a,Sox5,0,0
Kdm5a,Qser1,0,0
Kdm5a,Lgr4,0,0
Kdm5a,Mal2,0,0
Kdm5a,Spred1,0,0
Kdm5a,Pdgfa,0,0
Kdm5a,Dennd2a,0,0
Kdm5a,Bsn,0,0
Kdm5a,Grip1,0,0
Kdm5a,Ptprm,0,0
Kdm5a,Tbx6,0,0
Kdm5a,Lif,0,0
Kdm5a,Arl8a,0,0
Kdm5a,Aspa,0,0
Kdm5a,S1pr1,0,0
Kdm5a,Nle1,0,0
Kdm5a,Slc22a23,0,0
Kdm5a,Foxp2,0,0
Hoxb4,Sox4,0,0
Hoxb4,Shroom4,0,0
Hoxb4,Cdh11,0,0
Hoxb4,Mapkapk2,0,0
Hoxb4,Gpr85,1,999
Hoxb4,Hoxc5,0,0
Hoxb4,Stard10,0,0
Hoxb4,Lpgat1,0,0
Hoxb4,Nkx2-1,1,999
Hoxb4,Pde4dip,0,0
Hoxb4,Cga,1,999
Hoxb4,Hoxd11,0,0
Hoxb4,Cdc42bpa,1,999
Hoxb4,Snai3,0,0
Hoxb4,Slc44a3,0,0
Hoxb4,Dmrta2,1,999
Hoxb4,Dusp6,1,999
Hoxb4,Reps2,0,0
Hoxb4,Baz1a,1,999
Hoxb4,Pdzrn4,1,999
Hoxb4,Tox3,0,0
Hoxb4,Ptp4a3,0,0
Hoxb4,Sp5,1,999
Hoxb4,Afp,1,999
Hoxb4,Mtdh,0,0
Hoxb4,Bhlhe22,1,999
Hoxb4,Hoxb7,1,999
Hoxb4,Dpp4,0,0
Hoxb4,Mab21l1,1,999
Hoxb4,Lrrn3,1,999
Hoxb4,Hoxb6,0,0
Hoxb4,Adcy7,0,0
Hoxb4,St8sia5,0,0
Hoxb4,Fut8,0,0
Hoxb4,Dclk1,1,999
Hoxb4,Inppl1,1,999
Hoxb4,Trim8,1,999
Hoxb4,Prkg1,0,0
Hoxb4,Hoxc8,1,999
Hoxb4,Dab2,1,999
Hoxb4,Ovol1,1,999
Hoxb4,Mitf,1,999
Hoxb4,Sumo2,0,0
Hoxb4,Hand2,1,999
Hoxb4,Spsb4,0,0
Hoxb4,Zfp536,1,999
Hoxb4,Brd3,1,999
Hoxb4,Ankrd52,0,0
Hoxb4,Sfn,1,999
Hoxb4,Cdyl,0,0
Hoxb4,Mapt,0,0
Hoxb4,Nrp2,0,0
Hoxb4,Lingo2,1,999
Hoxb4,Tac1,1,999
Hoxb4,Sox5,1,999
Hoxb4,Klhdc3,0,0
Hoxb4,Rhobtb1,0,0
Hoxb4,Hdgf,0,0
Hoxb4,Emx2,1,999
Hoxb4,Sgsm2,0,0
Hoxb4,Tbx6,1,999
Hoxb4,Anks1b,0,0
Hoxb4,Slc17a6,0,0
Hoxb4,Glis3,0,0
Hoxb4,Lrrc4,1,999
Hoxb4,Neurl1a,0,0
Hoxb4,Cacnb1,0,0
Hoxb4,Pde11a,0,0
Hoxb4,2610028E06Rik,1,999
Hoxb4,Ttc36,1,999
Hoxb4,Esm1,0,0
Hoxb4,Lemd1,1,999
Hoxb4,Foxf2,0,0
Hoxb4,Gdf5,1,999
Hoxb4,H1f0,0,0
Hoxb4,Sgk1,0,0
Hoxb4,Sox2,1,999
Pax6,Batf2,0,0
Pax6,Bcl6,1,999
Pax6,Sec16b,1,999
Pax6,Nrxn1,1,999
Pax6,Ralyl,1,999
Pax6,Rxrg,1,999
Pax6,Hdac9,1,999
Pax6,Nfix,0,0
Pax6,Rtkn,0,0
Pax6,Vapb,0,0
Pax6,Pdzrn3,0,0
Pax6,Spag9,1,999
Pax6,Lgi1,1,999
Pax6,Dusp6,1,999
Pax6,Plxnc1,0,0
Pax6,Baz1a,1,999
Pax6,Pdzrn4,1,999
Pax6,Tet3,0,0
Pax6,Hoxa4,1,999
Pax6,Kdm2b,1,999
Pax6,Cdh2,0,0
Pax6,Ptpn5,1,999
Pax6,Sp5,1,999
Pax6,Angpt1,1,999
Pax6,Wnt2b,0,0
Pax6,Ppp1r1a,0,0
Pax6,Amotl2,0,0
Pax6,Tmem132d,0,0
Pax6,Met,0,0
Pax6,Bhlhe22,1,999
Pax6,Asns,1,999
Pax6,Foxj1,1,999
Pax6,Msto1,0,0
Pax6,Nhs,0,0
Pax6,Fblim1,0,0
Pax6,Mab21l1,1,999
Pax6,Midn,0,0
Pax6,Adcy7,1,999
Pax6,Lrtm1,1,999
Pax6,Sostdc1,1,999
Pax6,Myh9,1,999
Pax6,Slc30a1,1,999
Pax6,Col23a1,0,0
Pax6,Bend3,1,999
Pax6,Tbx18,1,999
Pax6,Prkg1,1,999
Pax6,Dab2ip,0,0
Pax6,Zfp503,1,999
Pax6,Apln,0,0
Pax6,Dab2,1,999
Pax6,Zcchc24,0,0
Pax6,Snph,0,0
Pax6,Podn,0,0
Pax6,Ovol1,1,999
Pax6,Ephb1,1,999
Pax6,Alx1,1,999
Pax6,Bves,1,999
Pax6,Ranbp17,0,0
Pax6,Mitf,1,999
Pax6,Zfp608,1,999
Pax6,Akap6,1,999
Pax6,Zfp536,1,999
Pax6,Prg4,1,999
Pax6,Dll1,1,999
Pax6,Ism1,1,999
Pax6,Lrrn2,1,999
Pax6,Gm14137,1,999
Pax6,Gap43,1,999
Pax6,Nr5a2,0,0
Pax6,Glud1,0,0
Pax6,Rab2a,0,0
Pax6,Sema3c,0,0
Pax6,En2,1,999
Pax6,Lima1,1,999
Pax6,Samd5,0,0
Pax6,Elmod1,1,999
Pax6,Plec,0,0
Pax6,Pnck,0,0
Pax6,Stag2,0,0
Pax6,Tnik,1,999
Pax6,G3bp2,0,0
Pax6,A830010M20Rik,0,0
Pax6,Nol4,1,999
Pax6,Emx2,1,999
Pax6,Fam53b,1,999
Pax6,Rnf19b,1,999
Pax6,Shc3,1,999
Pax6,Anks1b,1,999
Pax6,Zic3,1,999
Pax6,Esrrb,0,0
Pax6,Hoxb8,1,999
Pax6,Srsf12,1,999
Pax6,Hdac7,1,999
Pax6,En1,1,999
Pax6,Dlg3,1,999
Pax6,Setbp1,1,999
Pax6,Atxn10,1,999
Pax6,Rab12,1,999
Pax6,Bud13,1,999
Pax6,Hsp90ab1,0,0
Pax6,Adamtsl1,1,999
Pax6,Abi3bp,0,0
Pax6,Shoc2,0,0
Pax6,Gdf5,1,999
Pax6,Insm1,1,999
Pax6,Ptpn14,0,0
Pax6,Cdh10,1,999
Pax6,Dlx1as,1,999
Sp4,Col5a1,1,999
Sp4,Mex3b,1,999
Sp4,Grik3,1,999
Sp4,Shroom4,0,0
Sp4,Gabrb3,1,999
Sp4,Ptprg,1,999
Sp4,Egr2,1,999
Sp4,Scn1b,1,999
Sp4,Ino80d,1,999
Sp4,4933430I17Rik,1,999
Sp4,Abi3,1,999
Sp4,Cdh11,1,999
Sp4,Ankrd28,1,999
Sp4,Atxn1,1,999
Sp4,Nova1,1,999
Sp4,Zbtb25,1,999
Sp4,Nrxn1,1,999
Sp4,Syt6,1,999
Sp4,Pitx2,1,999
Sp4,Tob1,1,999
Sp4,Tpbg,1,999
Sp4,Pmp22,1,999
Sp4,Kcnd3,1,999
Sp4,Crim1,1,999
Sp4,Aplp1,1,999
Sp4,Gm5577,1,999
Sp4,Cpne9,1,999
Sp4,Ntrk3,1,999
Sp4,Gem,1,999
Sp4,Bmp2,1,999
Sp4,AU040320,1,999
Sp4,Prss23,0,0
Sp4,Plxna4,1,999
Sp4,Rapgef3,1,999
Sp4,Ltbr,0,0
Sp4,Kcnmb4,1,999
Sp4,Tox,1,999
Sp4,Adcy2,1,999
Sp4,Larp4b,1,999
Sp4,Srgap3,1,999
Sp4,Aph1a,1,999
Sp4,Csnk2a2,1,999
Sp4,Nsmaf,1,999
Sp4,Dnmt3b,1,999
Sp4,Nefm,1,999
Sp4,Cd248,1,999
Sp4,Lmo4,1,999
Sp4,Tlx2,1,999
Sp4,Zbtb7b,1,999
Sp4,Cdyl2,1,999
Sp4,Stk24,0,0
Sp4,Anxa1,1,999
Sp4,Msc,1,999
Sp4,Fli1,1,999
Sp4,Zswim5,1,999
Sp4,Maneal,1,999
Sp4,Zic1,1,999
Sp4,Meis2,1,999
Sp4,Pdzrn3,1,999
Sp4,Brsk2,1,999
Sp4,Rnf128,1,999
Sp4,Ttc28,0,0
Sp4,Lancl3,1,999
Sp4,Cxcl12,1,999
Sp4,Rgs8,1,999
Sp4,Eno3,1,999
Sp4,Gdf6,1,999
Sp4,Ebf4,1,999
Sp4,Ehmt2,1,999
Sp4,Cdh4,1,999
Sp4,Cbln1,1,999
Sp4,Bahd1,1,999
Sp4,Tnpo1,1,999
Sp4,E330009J07Rik,1,999
Sp4,Tet2,1,999
Sp4,Reps2,1,999
Sp4,Abhd2,1,999
Sp4,Hspa12b,1,999
Sp4,Kcnk2,1,999
Sp4,Sobp,1,999
Sp4,Plxnc1,1,999
Sp4,Myb,1,999
Sp4,Ryr2,1,999
Sp4,Stk10,1,999
Sp4,Pou3f3,1,999
Sp4,Mllt3,0,0
Sp4,Il7,1,999
Sp4,Cdk6,1,999
Sp4,Ubap2l,1,999
Sp4,Cacna2d2,1,999
Sp4,Hmgn2,1,999
Sp4,Tox3,1,999
Sp4,Crtac1,1,999
Sp4,Lcorl,1,999
Sp4,Vash2,1,999
Sp4,Rnf130,0,0
Sp4,Tmod1,1,999
Sp4,Stc2,1,999
Sp4,Macrod2,1,999
Sp4,Plekha6,1,999
Sp4,Camkv,1,999
Sp4,Lypd6b,1,999
Sp4,Ccne1,1,999
Sp4,1810062O18Rik,1,999
