Gene1,Gene2,label
EP300,CXXC1,1.0
EP300,ANP32E,1.0
EP300,CCT8,1.0
EP300,KIF15,1.0
EP300,PCNA,1.0
EP300,CENPU,1.0
EP300,MNAT1,1.0
EP300,MBD5,1.0
EP300,TPX2,0.0
EP300,CFAP20,1.0
EP300,POLR2J3,1.0
EP300,NCOA3,1.0
EP300,GPATCH3,1.0
EP300,DUS2,1.0
EP300,MIPOL1,1.0
EP300,SUPT3H,1.0
EP300,P4HB,1.0
EP300,ARL4A,1.0
EP300,GCLC,1.0
EP300,TRPC4AP,1.0
EP300,TSGA10,1.0
EP300,ACO2,1.0
EP300,SULT1A3,1.0
EP300,ZKSCAN4,1.0
EP300,TWISTNB,1.0
EP300,VTN,1.0
EP300,FAM117B,1.0
EP300,EDC4,1.0
EP300,SEPT7,1.0
EP300,COQ9,1.0
EP300,HNRNPA3,1.0
EP300,THNSL1,1.0
EP300,NET1,0.0
EP300,TRMT6,1.0
EP300,REST,0.0
EP300,GOT2,1.0
EP300,MBIP,1.0
EP300,INTS12,1.0
EP300,PFDN4,1.0
EP300,JMJD1C,1.0
EP300,CRK,1.0
EP300,BZW1,1.0
EP300,TM9SF1,1.0
EP300,DPH3,1.0
EP300,FAM136A,1.0
EP300,ATP6V0D1,1.0
EP300,NOSIP,1.0
EP300,COBLL1,1.0
EP300,EEFSEC,1.0
EP300,GLOD4,1.0
EP300,ACOT8,1.0
EP300,DRG2,1.0
EP300,SRRM1,1.0
EP300,OXSR1,0.0
EP300,MRPL17,1.0
EP300,ZNF398,1.0
EP300,PPIG,1.0
EP300,DNAJC9,1.0
EP300,PARK7,1.0
EP300,OXA1L,1.0
EP300,CENPQ,1.0
EP300,GSPT1,1.0
EP300,MXI1,0.0
EP300,KATNA1,1.0
EP300,SMARCC1,0.0
EP300,MTMR4,1.0
EP300,U2AF2,1.0
EP300,PPIL4,1.0
EP300,RNF7,0.0
EP300,RBM39,1.0
EP300,FAM122A,1.0
EP300,LRRC40,1.0
EP300,DNPEP,1.0
EP300,RAD21,0.0
EP300,EIF3CL,1.0
EP300,ABLIM1,1.0
EP300,UTP3,1.0
EP300,PSMD14,1.0
EP300,GLO1,0.0
EP300,GTF2H3,1.0
EP300,P4HA1,1.0
EP300,SEC62,1.0
EP300,TMEM41B,1.0
EP300,CRIPT,0.0
EP300,ETFA,1.0
EP300,SLC30A6,1.0
EP300,SPG11,0.0
EP300,FAM210A,1.0
EP300,SRSF11,1.0
EP300,SRSF7,1.0
EP300,RAB11A,1.0
EP300,LATS2,1.0
EP300,C19orf53,1.0
EP300,ATF3,0.0
EP300,SEC22C,1.0
EP300,IFRD2,1.0
EP300,CDK12,1.0
EP300,STX18,1.0
EP300,CPPED1,1.0
EP300,MTRF1L,1.0
EP300,POLG,1.0
EP300,PDRG1,1.0
EP300,C1QBP,0.0
EP300,KAT5,1.0
EP300,TTC31,1.0
EP300,RALGAPA2,0.0
EP300,FAM208B,1.0
EP300,CDC5L,1.0
EP300,HEATR5A,1.0
EP300,TANK,1.0
EP300,CYB5D1,1.0
EP300,KIF20B,0.0
EP300,NOL7,1.0
EP300,NELFE,1.0
EP300,SCAF8,1.0
EP300,SCNM1,1.0
EP300,SLC25A4,1.0
EP300,MDP1,1.0
EP300,MIPEP,1.0
EP300,DUS1L,1.0
EP300,LOX,1.0
EP300,TAF11,1.0
EP300,CRLS1,1.0
EP300,GSTCD,1.0
EP300,SUMF1,1.0
EP300,LRRC37A3,1.0
EP300,CHD1L,1.0
EP300,C14orf119,1.0
EP300,C2orf76,1.0
EP300,RNF43,1.0
EP300,VKORC1,1.0
EP300,AAR2,1.0
EP300,MMAB,1.0
EP300,POLR2A,1.0
EP300,TBC1D22A,1.0
EP300,SEPT2,0.0
EP300,DCTPP1,1.0
EP300,ZC3H7A,1.0
EP300,LONP1,1.0
EP300,UBE2B,1.0
EP300,COQ10B,1.0
EP300,DDX18,1.0
EP300,CASP8,1.0
EP300,CHD8,1.0
EP300,DDX19B,1.0
EP300,AFMID,1.0
EP300,MEIS1,1.0
EP300,TMEM101,1.0
EP300,UQCRC2,1.0
EP300,GEMIN2,1.0
EP300,ZNF165,1.0
EP300,AP4B1,1.0
EP300,PNKD,1.0
EP300,ZNRD1,1.0
EP300,DGUOK,1.0
EP300,FCHO2,1.0
EP300,CBWD3,1.0
EP300,TMEM170A,1.0
EP300,YWHAG,1.0
EP300,DDX42,1.0
EP300,SRSF1,1.0
EP300,ZFP91,1.0
EP300,DTD2,1.0
EP300,SLC20A1,0.0
EP300,SNRNP200,1.0
EP300,MRPL33,1.0
EP300,C17orf75,1.0
EP300,MCM8,1.0
EP300,NDUFV1,1.0
EP300,ISOC1,1.0
EP300,AKT1S1,1.0
EP300,POLR3B,1.0
EP300,PRPF31,1.0
EP300,NAT10,1.0
EP300,PCID2,1.0
EP300,ZNF554,1.0
EP300,ROMO1,1.0
EP300,SMG1,1.0
EP300,RNASEH1,1.0
EP300,USP31,0.0
EP300,FAM53C,1.0
EP300,AHCYL1,1.0
EP300,WRAP53,1.0
EP300,DHX8,1.0
EP300,CCDC146,1.0
EP300,ZMPSTE24,1.0
EP300,APEX1,1.0
EP300,TNFAIP3,1.0
EP300,DBI,1.0
EP300,ZBTB33,0.0
EP300,ZNF391,1.0
EP300,SLC30A5,1.0
EP300,LSG1,1.0
EP300,RBKS,1.0
EP300,EIF4E2,1.0
EP300,IMP3,0.0
EP300,CEP120,1.0
EP300,CEBPZ,0.0
EP300,METTL9,1.0
EP300,KRT8,1.0
EP300,CTNNB1,1.0
EP300,ACIN1,1.0
EP300,SMG5,1.0
EP300,ENO1,1.0
EP300,MDM2,1.0
EP300,SNX27,1.0
EP300,EEF2,0.0
EP300,S100PBP,1.0
EP300,SPTSSA,0.0
EP300,NDUFB3,1.0
EP300,EIF3D,1.0
EP300,DLC1,1.0
EP300,POLI,1.0
EP300,BANF1,1.0
EP300,PDCL3,1.0
EP300,FAM216A,1.0
EP300,TRIB3,1.0
EP300,TOP3B,1.0
EP300,RAB7A,1.0
EP300,CTDP1,1.0
EP300,EIF2AK1,1.0
EP300,SATB1,0.0
EP300,KIAA0391,1.0
EP300,ACBD4,1.0
EP300,GMCL1,1.0
EP300,ATP7B,1.0
EP300,MDH1,1.0
EP300,MTIF2,1.0
EP300,SRFBP1,1.0
EP300,REXO4,1.0
EP300,SUPT16H,1.0
EP300,C11orf1,1.0
EP300,TXNDC9,1.0
EP300,SRSF2,1.0
EP300,HDLBP,0.0
EP300,KCTD18,1.0
EP300,TOB1,1.0
EP300,TCF12,0.0
EP300,TDRD7,1.0
EP300,MRPL55,1.0
EP300,TBP,1.0
EP300,SNAP47,1.0
EP300,RBM28,1.0
EP300,DSP,1.0
EP300,BTG1,0.0
EP300,NINL,1.0
EP300,ARSB,1.0
EP300,EFCAB7,1.0
EP300,RAB2B,1.0
EP300,BDP1,1.0
EP300,C11orf68,1.0
EP300,TMCO1,1.0
EP300,CPSF1,1.0
EP300,TOB2,1.0
EP300,STK40,1.0
EP300,ANKRD36B,1.0
EP300,NCOA5,1.0
EP300,HMGN4,1.0
EP300,BYSL,1.0
EP300,KIF3B,1.0
EP300,POLDIP2,1.0
EP300,NRF1,0.0
EP300,TBCCD1,1.0
EP300,TBC1D19,1.0
EP300,FASTKD5,1.0
EP300,ING3,1.0
EP300,KBTBD4,1.0
EP300,TOMM22,1.0
EP300,ABHD12,1.0
EP300,CCDC138,1.0
EP300,SDCBP2,1.0
EP300,RGPD2,1.0
EP300,ERLEC1,1.0
EP300,TP53I3,1.0
EP300,GSS,1.0
EP300,CEP57,1.0
EP300,WRNIP1,1.0
EP300,SYNRG,0.0
EP300,C3orf38,1.0
EP300,C2CD5,1.0
EP300,STAG1,1.0
EP300,GGH,1.0
EP300,CHD9,1.0
EP300,ETV4,1.0
EP300,METTL5,0.0
EP300,VPS37A,0.0
EP300,EIF1,1.0
EP300,FAM217B,1.0
EP300,CBFA2T2,1.0
EP300,RPTOR,1.0
EP300,SURF6,1.0
EP300,MRPL12,1.0
EP300,FAM120B,1.0
EP300,TIMM13,1.0
EP300,TINF2,1.0
EP300,NAGPA,1.0
EP300,PDE12,1.0
EP300,MTCH2,1.0
EP300,ITFG2,1.0
EP300,WWP2,1.0
EP300,CALM1,1.0
EP300,CDKL3,1.0
EP300,CNPPD1,1.0
EP300,DIDO1,1.0
EP300,ANKRD36,0.0
EP300,LTV1,1.0
EP300,ANKRD36C,1.0
EP300,VPS25,1.0
EP300,AKTIP,1.0
EP300,C6orf89,1.0
EP300,ERMARD,1.0
EP300,MCRS1,0.0
EP300,BOLA3,1.0
EP300,YIPF3,1.0
EP300,UBE4A,1.0
EP300,C16orf58,1.0
EP300,RANBP1,1.0
EP300,RMND5A,1.0
EP300,PIKFYVE,1.0
EP300,POLE4,1.0
EP300,TBC1D20,0.0
EP300,PLS1,1.0
EP300,FOXA1,1.0
EP300,IDH1,1.0
EP300,NFAT5,1.0
EP300,HAAO,1.0
EP300,RWDD1,1.0
EP300,COA4,1.0
EP300,C4orf46,1.0
EP300,UGGT1,1.0
EP300,GAN,1.0
EP300,SLC7A6,1.0
EP300,MKKS,1.0
EP300,RBM45,1.0
EP300,COPS7B,1.0
EP300,NUDT15,1.0
EP300,HIST1H2AE,1.0
EP300,PPM1B,0.0
EP300,HIRA,1.0
EP300,GTF2H1,1.0
EP300,GEMIN7,1.0
EP300,ZNF461,1.0
EP300,RNMT,1.0
EP300,HSPH1,1.0
EP300,CCT4,1.0
EP300,TRMT2A,1.0
EP300,IST1,1.0
EP300,NUP35,1.0
EP300,MVD,1.0
EP300,MRPL52,1.0
EP300,FITM2,1.0
EP300,PPP1R15B,1.0
EP300,MPLKIP,1.0
EP300,KATNB1,1.0
EP300,ZC3H10,1.0
EP300,STARD7,1.0
EP300,CRBN,1.0
EP300,GOSR2,1.0
EP300,UBB,1.0
EP300,NDUFAF5,1.0
EP300,FAM227B,1.0
EP300,SLC44A1,1.0
EP300,CBWD1,1.0
EP300,CDK5RAP1,1.0
EP300,GMPPA,1.0
EP300,FUT10,1.0
EP300,POLR3A,1.0
EP300,MTOR,1.0
EP300,DMAP1,1.0
EP300,MYADM,1.0
EP300,SHARPIN,0.0
EP300,NFYC,1.0
EP300,NDC1,1.0
EP300,TUBGCP3,1.0
EP300,OPA3,1.0
EP300,PSMF1,1.0
EP300,RBM4B,0.0
EP300,TMEM51,1.0
EP300,SLC35A3,1.0
EP300,NRSN2,1.0
EP300,FADS2,1.0
EP300,STAT3,1.0
EP300,UBFD1,1.0
EP300,SNRPC,1.0
EP300,NUPL2,1.0
EP300,METTL3,1.0
EP300,TOMM6,1.0
EP300,PEX3,1.0
EP300,TTC32,1.0
EP300,TMEM230,1.0
EP300,VPS33A,1.0
EP300,CREM,1.0
EP300,LNPEP,1.0
EP300,NPLOC4,1.0
EP300,ATXN1L,1.0
EP300,C12orf73,1.0
EP300,STAT1,1.0
EP300,EP300,0.0
EP300,USP40,1.0
EP300,SLC3A2,1.0
EP300,TNFRSF21,1.0
EP300,KIF9,1.0
EP300,ALG10B,1.0
EP300,CLTC,1.0
EP300,LAMTOR2,1.0
EP300,BRCA1,1.0
EP300,DTD1,0.0
EP300,VPS72,1.0
EP300,TATDN3,1.0
EP300,ADAM17,1.0
EP300,PINX1,1.0
EP300,MFSD8,0.0
EP300,CCDC77,1.0
EP300,ZNF274,0.0
EP300,NAGK,1.0
EP300,DAD1,1.0
EP300,FAF1,1.0
EP300,TSSC4,1.0
EP300,GGCX,1.0
EP300,GGA3,1.0
EP300,COMMD1,1.0
EP300,ZNF189,1.0
EP300,ARID1A,0.0
EP300,AP3S2,1.0
EP300,ABCB6,1.0
EP300,APOB,1.0
EP300,NMNAT1,1.0
EP300,PPARGC1A,0.0
EP300,PKIG,1.0
EP300,SRP54,1.0
EP300,GMFB,1.0
EP300,SYS1,1.0
EP300,ELP3,1.0
EP300,BUD13,1.0
EP300,MTFR2,1.0
EP300,LPXN,1.0
EP300,PTEN,1.0
EP300,POC1A,1.0
EP300,HIST1H4C,1.0
EP300,HPCAL1,1.0
EP300,EARS2,1.0
EP300,PPARD,1.0
EP300,COX7A2L,1.0
EP300,RRBP1,1.0
EP300,GABPA,0.0
EP300,NXF1,1.0
EP300,PAFAH2,1.0
EP300,CCNT2,1.0
EP300,AAMP,1.0
EP300,COQ6,1.0
EP300,ABHD4,1.0
EP300,HIST1H2AC,1.0
EP300,LRRC59,1.0
EP300,UBE2Q1,1.0
EP300,FAM185A,1.0
EP300,GRPEL1,1.0
EP300,KLC4,1.0
EP300,SMC3,0.0
EP300,NUP107,1.0
EP300,CCDC88A,1.0
EP300,TTC26,1.0
EP300,GTF3C3,1.0
EP300,IDH3B,1.0
EP300,PUS10,1.0
EP300,TTI1,1.0
EP300,EIF2B4,1.0
EP300,DDX28,1.0
EP300,TOX4,1.0
EP300,BOLA2B,1.0
EP300,TRAPPC12,1.0
EP300,CCDC142,1.0
EP300,TBC1D5,1.0
EP300,PPME1,1.0
EP300,ZNF638,0.0
EP300,ABT1,1.0
EP300,HNRNPUL1,1.0
EP300,PFKM,1.0
EP300,RC3H2,1.0
EP300,BZW2,1.0
EP300,SECISBP2,0.0
EP300,YAP1,1.0
EP300,PAICS,1.0
EP300,INTS4,1.0
EP300,DTYMK,1.0
EP300,SULT1A4,1.0
EP300,CSDE1,0.0
EP300,PACSIN2,1.0
EP300,RSL24D1,1.0
EP300,HPD,1.0
EP300,CPSF3,1.0
EP300,WDR60,1.0
EP300,SRSF4,1.0
EP300,MGME1,1.0
EP300,C12orf57,1.0
EP300,IARS,1.0
EP300,SLC39A3,1.0
EP300,MRPL24,1.0
EP300,SPAG16,1.0
EP300,ZNF668,1.0
EP300,COX7A2,1.0
EP300,STK11IP,1.0
EP300,ZCCHC4,1.0
EP300,DCAKD,1.0
EP300,CCNG1,1.0
EP300,DUSP3,1.0
EP300,ATG9A,1.0
EP300,BMS1,1.0
EP300,MRPS18C,1.0
EP300,SOD2,1.0
EP300,PPRC1,1.0
EP300,MRPL18,1.0
EP300,CTCF,0.0
EP300,EIF3F,1.0
EP300,ZNF646,1.0
EP300,HEXIM2,1.0
EP300,PSMB1,1.0
EP300,CTDSP1,1.0
EP300,GTF2H2,1.0
EP300,ZSCAN30,1.0
EP300,INO80C,1.0
EP300,NSL1,1.0
EP300,SEC14L1,1.0
EP300,NOP10,1.0
EP300,HIST1H4J,1.0
EP300,HIST1H2BC,1.0
EP300,CNOT1,1.0
EP300,ZC3H6,1.0
EP300,PSMA6,1.0
EP300,MKRN2,1.0
EP300,SACM1L,1.0
EP300,TMED7,1.0
EP300,ZNF460,1.0
EP300,ATP6V1D,1.0
EP300,CSE1L,1.0
EP300,TIGD1,1.0
EP300,CEP250,1.0
EP300,NABP1,1.0
EP300,AP1AR,1.0
EP300,RIF1,1.0
EP300,FABP1,1.0
EP300,LIMS1,0.0
EP300,COG8,1.0
EP300,DRAP1,1.0
EP300,ERI2,1.0
EP300,SSBP1,1.0
EP300,FRG1,1.0
EP300,CDK4,1.0
EP300,PUM2,1.0
EP300,CDK5RAP3,1.0
EP300,ZBTB40,1.0
EP300,FAM161B,1.0
EP300,RLF,1.0
EP300,MATR3,0.0
EP300,ZNF747,1.0
EP300,SCAP,1.0
EP300,MRPS15,1.0
EP300,ALKBH3,1.0
EP300,MRPL3,1.0
EP300,PAK1IP1,1.0
EP300,GOLT1A,1.0
EP300,USP30,1.0
EP300,ACY1,1.0
EP300,XYLB,1.0
EP300,CITED2,1.0
EP300,MTERF1,1.0
EP300,MAP2K1,1.0
EP300,KLHL12,1.0
EP300,MMADHC,1.0
EP300,RRN3,1.0
EP300,SP2,0.0
EP300,MITD1,1.0
EP300,ZSWIM7,0.0
EP300,ID1,1.0
EP300,NFE2L2,1.0
EP300,PCIF1,0.0
EP300,TMEM41A,1.0
EP300,VRK2,1.0
EP300,SEC24A,1.0
EP300,PPIL1,1.0
EP300,PPIH,1.0
EP300,NOP9,1.0
EP300,HECTD1,1.0
EP300,SCAF11,1.0
EP300,ARL8B,1.0
EP300,ASXL1,1.0
EP300,NR2C2,0.0
EP300,ZBTB4,1.0
EP300,ASGR1,1.0
EP300,TTC19,0.0
EP300,EIF2AK3,0.0
EP300,DNAJC19,1.0
EP300,SRCAP,1.0
EP300,KIF16B,1.0
EP300,OGDH,1.0
EP300,NXT1,1.0
EP300,DNTTIP1,1.0
EP300,E2F6,1.0
EP300,ATF4,0.0
EP300,AFF1,1.0
EP300,USF1,0.0
EP300,PPIP5K2,1.0
EP300,HIRIP3,1.0
EP300,SNRPF,1.0
EP300,CAMLG,1.0
EP300,CFDP1,0.0
EP300,ZNF3,1.0
EP300,HNRNPF,1.0
EP300,NFATC3,1.0
EP300,WTAP,1.0
EP300,ARFRP1,1.0
EP300,TAF1C,1.0
EP300,TTC30A,0.0
EP300,STRADB,1.0
EP300,PLAGL2,1.0
EP300,DST,1.0
EP300,UQCRQ,1.0
EP300,POLR2C,1.0
EP300,ASPH,1.0
EP300,CYB5B,1.0
EP300,MAPRE2,1.0
EP300,NAA20,1.0
EP300,WDR36,1.0
EP300,CEBPD,0.0
EP300,HNF4A,0.0
EP300,INO80,1.0
EP300,DCAF11,1.0
EP300,TRIP4,1.0
EP300,EEF1E1,1.0
EP300,ARNT,0.0
EP300,MAP1LC3B,1.0
EP300,KIFC1,0.0
EP300,OSER1,1.0
EP300,ARID3A,0.0
EP300,YY1,0.0
EP300,GCA,0.0
EP300,IER2,1.0
EP300,ZNF286A,1.0
EP300,AIG1,1.0
EP300,DPP9,1.0
EP300,MRPL50,1.0
EP300,TMX4,1.0
EP300,DDX51,1.0
EP300,EIF4A1,1.0
EP300,HNRNPH3,1.0
EP300,VPS9D1,1.0
EP300,TMBIM1,1.0
EP300,POLR1C,1.0
EP300,BRMS1L,1.0
EP300,ANKRD40,1.0
EP300,PBLD,1.0
EP300,DXO,1.0
EP300,MIA2,1.0
EP300,GTPBP10,1.0
EP300,POFUT1,1.0
EP300,POLR1B,1.0
EP300,SNAPC5,1.0
EP300,NUP54,1.0
EP300,SLC25A26,0.0
EP300,DTWD1,1.0
EP300,PDAP1,1.0
EP300,TMEM106B,1.0
EP300,PIGF,0.0
EP300,NIPBL,0.0
EP300,CPNE1,1.0
EP300,HNMT,1.0
EP300,BANP,1.0
EP300,VTA1,1.0
EP300,GALNS,1.0
EP300,C10orf88,1.0
EP300,ZGPAT,1.0
EP300,SUPT5H,1.0
EP300,SLC35B1,1.0
EP300,SF3B5,1.0
EP300,SDR39U1,1.0
EP300,VAMP5,1.0
EP300,STX4,0.0
EP300,TCTN3,1.0
EP300,IGF2R,1.0
EP300,COQ7,1.0
EP300,GTF2IRD2B,1.0
EP300,TAF3,0.0
EP300,SRXN1,1.0
EP300,NOC4L,1.0
EP300,PRMT3,1.0
EP300,KDM3B,1.0
EP300,ALG1,1.0
EP300,NIF3L1,1.0
EP300,TRMT61B,1.0
EP300,ZC3H15,1.0
EP300,TCF7L2,0.0
EP300,COPS2,1.0
EP300,CCNL1,1.0
EP300,PCBP2,1.0
EP300,MOB4,1.0
EP300,TAF1,0.0
EP300,ACOX1,1.0
EP300,EZH2,0.0
EP300,KLHL18,1.0
EP300,GFM1,1.0
EP300,PIP4K2B,1.0
EP300,STOML2,1.0
EP300,RDH14,1.0
EP300,TRAPPC6B,1.0
EP300,ASF1A,1.0
EP300,KLHDC3,1.0
EP300,NOL10,1.0
EP300,STX16,1.0
EP300,UBOX5,1.0
EP300,FAM98B,1.0
EP300,DNAJC2,1.0
EP300,CHMP4B,1.0
EP300,AARS2,1.0
EP300,BHLHE40,1.0
EP300,RSL1D1,1.0
EP300,MAX,1.0
EP300,TFRC,1.0
EP300,MVK,1.0
EP300,CDC73,1.0
EP300,H3F3B,1.0
EP300,FOXJ3,1.0
EP300,SSR1,1.0
EP300,CCDC174,1.0
EP300,SLC25A19,1.0
EP300,MRPL44,1.0
EP300,LARS,1.0
EP300,TMEM9,1.0
EP300,CAMKMT,1.0
EP300,NUS1,1.0
EP300,HUS1,1.0
EP300,ADRM1,1.0
EP300,TRUB1,1.0
EP300,EGLN2,1.0
EP300,TCP1,1.0
EP300,ZNFX1,1.0
EP300,ZCCHC3,1.0
EP300,TPT1,1.0
EP300,ADPGK,1.0
EP300,NPAT,1.0
EP300,TSFM,1.0
EP300,UCHL5,1.0
EP300,DNM2,0.0
EP300,SUGCT,1.0
EP300,TEAD4,0.0
EP300,SREBF2,0.0
EP300,SPATA2,1.0
EP300,FOXN2,1.0
EP300,DTWD2,0.0
EP300,HERPUD1,1.0
EP300,LSM5,1.0
EP300,CA5A,1.0
EP300,NGDN,1.0
EP300,ZNF337,1.0
EP300,NDUFS7,1.0
EP300,USP37,1.0
EP300,HIBCH,1.0
EP300,MAT2A,1.0
EP300,SMARCA2,0.0
EP300,RAB37,1.0
EP300,NBEAL1,0.0
EP300,ZNF133,1.0
EP300,CBWD2,1.0
EP300,C1D,1.0
EP300,MAF1,0.0
EP300,ARSK,1.0
EP300,TACO1,1.0
EP300,GTF2IRD2,1.0
EP300,FBXO34,0.0
EP300,SORT1,1.0
EP300,ASXL2,1.0
EP300,NFIC,0.0
EP300,AURKA,1.0
EP300,CCDC47,1.0
EP300,FOXA2,0.0
EP300,GBE1,1.0
EP300,RAPGEF6,0.0
EP300,PWP1,1.0
EP300,BIRC6,1.0
EP300,EMC4,1.0
EP300,DDX1,1.0
EP300,POLR2J,1.0
EP300,EIF2B3,1.0
EP300,PHB2,1.0
EP300,ATXN2L,1.0
EP300,FANCD2,1.0
EP300,DSTYK,1.0
EP300,CYB5A,1.0
EP300,TRAK2,1.0
EP300,NEK2,1.0
EP300,ALS2,1.0
EP300,SPOP,1.0
EP300,BCAS3,0.0
EP300,SARAF,1.0
EP300,TMEM199,1.0
EP300,FAHD2A,0.0
EP300,PANK1,1.0
EP300,CENPO,1.0
EP300,REV3L,1.0
EP300,XRCC5,1.0
EP300,PSMD3,1.0
EP300,FBXO33,1.0
EP300,HDAC2,0.0
EP300,ATG4B,0.0
EP300,TK1,1.0
EP300,RAB30,1.0
EP300,PCNP,1.0
EP300,SLC24A1,1.0
EP300,ZFPL1,1.0
EP300,CYP20A1,1.0
EP300,EIF2S1,1.0
EP300,G3BP1,1.0
EP300,ACOT13,1.0
EP300,RALGAPB,1.0
EP300,RFFL,1.0
EP300,COX18,1.0
EP300,M6PR,1.0
EP300,GSTA4,1.0
EP300,G6PC3,1.0
EP300,PTRH2,1.0
EP300,ZNF2,1.0
EP300,SSNA1,1.0
EP300,EEF1B2,1.0
EP300,EIF2S2,1.0
EP300,ILF2,1.0
EP300,CCT7,1.0
EP300,POLDIP3,1.0
EP300,SIRT5,1.0
EP300,RUVBL1,1.0
EP300,SLC25A51,1.0
EP300,HIGD2A,1.0
EP300,EDEM2,1.0
EP300,G2E3,1.0
EP300,NDE1,1.0
EP300,AP5S1,1.0
EP300,MTF2,1.0
EP300,ESRRA,0.0
EP300,CYCS,1.0
EP300,USP32,1.0
EP300,CUTA,1.0
EP300,YTHDC1,1.0
EP300,HIF1A,0.0
EP300,C6orf52,1.0
EP300,CDS2,1.0
EP300,GALM,1.0
EP300,MED23,1.0
EP300,AMZ2,0.0
EP300,MRPL45,1.0
EP300,METTL2A,1.0
EP300,TOMM40,1.0
EP300,MAPKAPK5,1.0
EP300,AARS,1.0
EP300,GHITM,0.0
EP300,DCP1A,1.0
EP300,ZNF564,1.0
EP300,TFPT,1.0
EP300,ATM,1.0
EP300,KBTBD6,1.0
EP300,TM2D3,1.0
EP300,NCOA7,1.0
EP300,PCBP1,1.0
EP300,FAM83D,1.0
EP300,DCAF17,1.0
EP300,HOMEZ,1.0
EP300,TBL1X,1.0
EP300,MTG2,1.0
EP300,SAR1B,1.0
EP300,STAM2,1.0
EP300,NDUFA11,1.0
EP300,RABGGTA,1.0
EP300,MRPL53,1.0
EP300,UBQLN1,1.0
EP300,GPT2,1.0
EP300,HMGXB3,1.0
EP300,DDIT4,1.0
EP300,FANCL,1.0
EP300,SP1,0.0
EP300,TNRC6B,1.0
EP300,THUMPD3,1.0
EP300,HBP1,1.0
EP300,PALB2,1.0
EP300,EXOC2,1.0
EP300,CRNKL1,1.0
EP300,NOTCH2,1.0
EP300,U2SURP,1.0
EP300,SNAP29,1.0
EP300,PPM1H,1.0
EP300,ANAPC5,1.0
EP300,VMP1,1.0
EP300,DPY19L4,1.0
EP300,PCYT2,1.0
EP300,PRMT5,1.0
EP300,HDAC4,1.0
EP300,PARL,1.0
EP300,GNL1,1.0
EP300,TMEM14C,1.0
EP300,HNRNPD,1.0
EP300,SF3A3,1.0
EP300,RBMS1,1.0
EP300,SUPT7L,1.0
EP300,CNPY3,1.0
EP300,CEBPB,0.0
EP300,CCNC,1.0
EP300,TF,1.0
EP300,FAM107B,1.0
EP300,CCDC150,1.0
EP300,RBM12,1.0
EP300,ZNF23,1.0
EP300,TMEM186,1.0
EP300,SPRY1,1.0
EP300,MEA1,1.0
EP300,DHX16,1.0
EP300,COPS4,1.0
EP300,CLUAP1,1.0
